,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
1720,1720,21586,1616796225.4,14.719793827861151,0.0,-86.71078670000001,36.0992923,386.5334122516436
1725,1725,21591,1616796225.9,14.56843035565138,0.0,-86.710775,36.0992767,392.0
1730,1730,21596,1616796226.4,14.49,0.0,-86.7107623,36.0992612,390.40722063669136
1735,1735,21601,1616796226.9,14.55,0.0,-86.7107498,36.099245200000006,385.0
1740,1740,21606,1616796227.4,14.638605028160663,0.0,-86.7107377,36.0992297,391.8788434580339
1745,1745,21611,1616796227.9,14.74,0.0,-86.71072530000001,36.099214200000006,387.6118026560732
1750,1750,21616,1616796228.4,14.790415724008898,0.0,-86.7107128,36.0991987,392.0
1755,1755,21621,1616796228.9,14.693503033549112,-0.19,-86.7107003,36.099183200000006,385.0
1760,1760,21626,1616796229.4,14.368489432786516,-0.39,-86.7106877,36.0991675,386.2274808043031
1765,1765,21631,1616796229.9,14.042008682366973,-0.19,-86.7106752,36.0991518,387.9732538939101
1770,1770,21636,1616796230.4,13.73965803030015,-0.19,-86.71066280000001,36.099136,392.0
1775,1775,21641,1616796230.9,13.511641543813152,-0.0387103627423694,-86.7106507,36.099121,385.0
1780,1780,21646,1616796231.4,13.437784793009223,0.0,-86.710639,36.0991062,391.8863187912207
1785,1785,21651,1616796231.9,13.526215956765984,0.0,-86.7106272,36.0990918,388.6933244520792
1790,1790,21656,1616796232.4,14.372614474950726,1.17,-86.7106158,36.0990777,385.0
1795,1795,21661,1616796232.9,15.568049315565226,1.5310834921845216,-86.710604,36.0990637,386.9637438296424
1800,1800,21666,1616796233.4,16.94535584961544,1.5069000963700612,-86.710592,36.0990495,391.9020311199248
1805,1805,21671,1616796233.9,18.2614564125214,1.37,-86.7105788,36.099034,387.9716268848526
1810,1810,21676,1616796234.4,19.486692502523283,1.37,-86.710565,36.09901729999999,385.2466967567732
1815,1815,21681,1616796234.9,20.69090263691684,1.334498692562854,-86.7105498,36.0989992,389.0630028258621
1820,1820,21686,1616796235.4,21.80640790052817,0.845204453384999,-86.7105338,36.0989793,385.0
1825,1825,21691,1616796235.9,22.85101047375137,1.17,-86.7105165,36.0989585,387.966966654089
1830,1830,21696,1616796236.4,23.82006473793585,0.78,-86.710498,36.0989365,391.8886002693996
1835,1835,21701,1616796236.9,24.771193668120187,0.98,-86.7104787,36.0989133,386.95669828696
1840,1840,21706,1616796237.4,25.683318530113027,0.78,-86.7104588,36.0988887,386.2210311590238
1845,1845,21711,1616796237.9,26.549630261713453,0.9542451409997028,-86.710438,36.098863,390.9151310012844
1850,1850,21716,1616796238.4,27.381383706860746,0.907350646027888,-86.71041629999999,36.0988367,385.2656143771041
1855,1855,21721,1616796238.9,28.20095473748843,0.78,-86.71039379999999,36.0988092,392.0
1860,1860,21726,1616796239.4,29.033728759488447,0.58,-86.71037079999999,36.098781,385.2611659866867
1865,1865,21731,1616796239.9,29.833143995467587,0.7755788526682028,-86.7103472,36.0987515,389.4292320971428
1870,1870,21736,1616796240.4,30.633504085631003,0.78,-86.7103225,36.0987215,385.0
1875,1875,21741,1616796240.9,31.299802621833805,0.5846455527330543,-86.7102973,36.0986907,387.5896703272735
1880,1880,21746,1616796241.4,31.6492453310456,0.39,-86.7102717,36.0986588,385.0
